date,feed,ep_num,title,movie,guest,movie_id,movie_original_title,release_date,vote_average,vote_count
2024-01-28T05:00:00+00:00,main,462,The Prince of Tides with Katey Rich,The Prince of Tides,Katey Rich,10333,The Prince of Tides,1991-12-25,6.6,269
2024-02-01T05:00:11+00:00,patreon,212,Terminator 2: Judgment Day,Terminator 2: Judgment Day,,280,Terminator 2: Judgment Day,1991-07-03,8.12,12731
2024-02-04T05:00:00+00:00,main,463,The Mirror Has Two Faces with Bobby Finger & Lindsey Weber,The Mirror Has Two Faces,Bobby Finger & Lindsey Weber,25189,The Mirror Has Two Faces,1996-11-15,6.676,319
2024-02-11T05:00:00+00:00,main,464,Nomads,Nomads,,26725,Nomads,1986-03-07,4.9,104
2024-02-11T05:00:03+00:00,patreon,213,T2-3D: Battle Across Bab's Basement,T2-3D: Battle Across Bab's Basement,,10000090,Television override,9999-09-09,0,0
2024-02-18T05:00:00+00:00,main,465,Predator with Jon Gabrus,Predator,Jon Gabrus,106,Predator,1987-06-12,7.533,7959
2024-02-21T05:00:04+00:00,patreon,214,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,,296,Terminator 3: Rise of the Machines,2003-07-02,6.165,6551
2024-02-25T05:00:00+00:00,main,466,Die Hard with Kevin Smith,Die Hard,Kevin Smith,562,Die Hard,1988-07-15,7.8,10998
2024-03-01T05:00:06+00:00,patreon,216,Terminator Salvation,Terminator Salvation,,534,Terminator Salvation,2009-05-20,6.064,6386
2024-03-10T05:00:00+00:00,main,468,The Hunt For Red October with Jamelle Bouie,The Hunt For Red October,Jamelle Bouie,1669,The Hunt for Red October,1990-03-02,7.384,3219
2024-03-11T04:00:05+00:00,patreon,217,Die Hard 2: Die Harder,Die Hard 2: Die Harder,,1573,Die Hard 2,1990-07-03,6.952,5694
2024-03-17T04:00:00+00:00,main,469,Medicine Man with Jamie Lee,Medicine Man,Jamie Lee,9096,Medicine Man,1992-02-07,5.974,369
2024-03-21T04:00:04+00:00,patreon,219,Terminator Genisys,Terminator Genisys,,87101,Terminator Genisys,2015-06-23,5.938,8315
2024-03-24T04:00:00+00:00,main,470,Last Action Hero with Paul Scheer & Jason Mantzoukas,Last Action Hero,Paul Scheer & Jason Mantzoukas,9593,Last Action Hero,1993-06-18,6.459,2669
2024-03-31T04:00:00+00:00,main,471,Die Hard with a Vengeance with Shea Serrano,Die Hard with a Vengeance,Shea Serrano,1572,Die Hard: With a Vengeance,1995-05-19,7.3,5996
2024-04-01T04:00:07+00:00,patreon,221,Terminator: Dark Fate,Terminator: Dark Fate,,290859,Terminator: Dark Fate,2019-10-23,6.44,5028
2024-04-07T04:00:00+00:00,main,472,The Thomas Crown Affair (1999) with Amanda Dobbins,The Thomas Crown Affair (1999),Amanda Dobbins,913,The Thomas Crown Affair,1999-08-06,6.74,1148
2024-04-11T04:00:05+00:00,patreon,222,Sin Eater: The Crimes of Anthony Pellicano,Sin Eater: The Crimes of Anthony Pellicano,,1099390,Sin Eater: The Crimes of Anthony Pellicano,2023-03-10,7.0,1
2024-04-14T04:00:00+00:00,main,473,The 13th Warrior with David Lowery,The 13th Warrior,David Lowery,1911,The 13th Warrior,1999-08-13,6.7,1813
2024-04-21T04:00:00+00:00,main,474,Rollerball with Zach Cherry,Rollerball,Zach Cherry,11535,Rollerball,2002-02-08,4.0,464
2024-04-21T04:00:05+00:00,patreon,223,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,,1498,Teenage Mutant Ninja Turtles,1990-03-30,6.669,1736
2024-04-28T04:00:00+00:00,main,475,Basic with BenDavid Grabinski,Basic,BenDavid Grabinski,10782,Basic,2003-04-18,6.5,1014
2024-05-01T04:00:09+00:00,patreon,224,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,,1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22,6.159,1115
2024-05-05T04:00:00+00:00,main,476,Perfect Blue with Bowen Yang,Perfect Blue,Bowen Yang,10494,PERFECT BLUE,1998-02-28,8.311,2607
2024-05-11T04:00:00+00:00,patreon,225,Paranoia Agent with Nick Wiger,Paranoia Agent,Nick Wiger,10000001,Television override,9999-09-09,0,0
2024-05-12T04:00:00+00:00,main,477,Millennium Actress with Hoai-Tran Bui,Millennium Actress,Hoai-Tran Bui,33320,千年女優,2002-09-14,7.818,828
2024-05-19T20:25:09+00:00,main,478,Tokyo Godfathers,Tokyo Godfathers,,13398,東京ゴッドファーザーズ,2003-12-05,7.909,1236
2024-05-21T20:25:09+00:00,patreon,226,Teenage Mutant Ninja Turtles III,Teenage Mutant Ninja Turtles III,,1499,Teenage Mutant Ninja Turtles III,1993-03-17,5.445,807
2024-05-26T20:25:09+00:00,main,479,Paprika,Paprika,,4977,パプリカ,2006-10-21,7.8,2390
2024-06-01T20:25:09+00:00,patreon,227,TMNT,TMNT,,1273,TMNT,2007-03-23,6.1,1078
2024-06-02T20:25:09+00:00,main,480,Furiosa,Furiosa,,786892,Furiosa: A Mad Max Saga,2024-05-22,7.554,3178
2024-06-09T20:25:09+00:00,main,481,Going in Style,Going in Style,,65066,Going in Style,1979-12-25,6.9,50
2024-06-11T20:25:09+00:00,patreon,228a,Hot Dogs for Gauguin,Hot Dogs for Gauguin,,200202,Hot Dogs for Gauguin,1972-06-12,6.4,5
2024-06-11T20:25:09+00:00,patreon,228b,Hot Tomorrows,Hot Tomorrows,,83815,Hot Tomorrows,1977-04-01,6.0,1
2024-06-16T20:25:09+00:00,main,482,Beverly Hills Cop,Beverly Hills Cop,,90,Beverly Hills Cop,1984-12-05,7.197,4094
2024-06-21T20:25:09+00:00,patreon,229,Teenage Mutant Ninja Turtles (2014),Teenage Mutant Ninja Turtles (2014),,98566,Teenage Mutant Ninja Turtles,2014-08-07,5.921,6715
2024-06-23T20:25:09+00:00,main,483,Midnight Run,Midnight Run,,9013,Midnight Run,1988-07-20,7.2,1065
2024-07-01T20:25:09+00:00,patreon,230,Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles: Out of the Shadows,,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016-06-01,6.028,3461
2024-06-30T20:25:09+00:00,main,484,Scent of a Woman,Scent of a Woman,,9475,Scent of a Woman,1992-12-23,7.793,3330
2024-07-07T20:25:09+00:00,main,485,Meet Joe Black,Meet Joe Black,,297,Meet Joe Black,1998-11-12,7.341,5087
2024-07-14T20:25:09+00:00,main,486,Gigli,Gigli,,8046,Gigli,2003-08-01,4.045,453
2024-07-21T20:25:09+00:00,patreon,232,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,7.252,1270
2024-07-21T20:25:09+00:00,main,487,Dances with Wolves,Dances with Wolves,,581,Dances with Wolves,1990-03-30,7.849,4170
2024-07-28T20:25:09+00:00,main,488,The Postman,The Postman,,9922,The Postman,1997-12-25,6.247,1053
2024-08-01T20:25:09+00:00,patreon,233,Clue,Clue,,15196,Clue,1985-12-13,7.2,1678
2024-08-04T20:25:09+00:00,main,489,Open Range,Open Range,,2055,Open Range,2003-08-11,7.217,1049
2024-08-11T20:25:09+00:00,main,490,Trap,Trap,,1032823,Trap,2024-07-31,6.52,1251
2024-08-11T20:25:09+00:00,patreon,234,Waterworld,Waterworld,,9804,Waterworld,1995-07-28,6.219,3638
2024-08-18T20:25:09+00:00,main,491,Horizon: An American Saga – Chapter 1,Horizon: An American Saga – Chapter 1,,932086,Horizon: An American Saga - Chapter 1,2024-06-26,6.991,277
2024-08-21T20:25:09+00:00,patreon,235,Dungeons & Dragons,Dungeons & Dragons,,11849,Dungeons & Dragons,2000-12-08,4.372,613
2024-08-25T20:25:09+00:00,main,492,Eraserhead,Eraserhead,,985,Eraserhead,1977-09-28,7.364,2370
